x, y, z, Activity
1,-2.239971,-39,BI_EDGE
2,-2.225743,-39,BI_EDGE
3,-2.211515,-39,BI_EDGE
4,-2.197287,-39,BI_EDGE
5,-2.183058,-39,BI_EDGE
6,-2.169773,-39,BI_EDGE
-3,-2.240913,-38,NONE
-2,-2.240913,-38,NONE
-1,-2.240913,-38,BI_EDGE
0,-2.240913,-38,BI_EDGE
1,-2.231963,-38,BI_EDGE
2,-2.229366,-38,BI_EDGE
3,-2.215138,-38,BI_EDGE
4,-2.20091,-38,BI_EDGE
5,-2.186682,-38,BI_EDGE
6,-2.172454,-38,BI_EDGE
-3,-2.240913,-37,NONE
-2,-2.240913,-37,NONE
-1,-2.240913,-37,BI_EDGE
0,-2.240913,-37,BI_EDGE
1,-2.225233,-37,BI_EDGE
2,-2.232989,-37,BI_EDGE
3,-2.218761,-37,BI_EDGE
4,-2.204533,-37,BI_EDGE
5,-2.190305,-37,BI_EDGE
6,-2.176077,-37,NONE
-3,-2.240913,-36,NONE
-2,-2.240913,-36,NONE
-1,-2.240913,-36,BI_EDGE
0,-2.240913,-36,BI_EDGE
1,-2.225233,-36,BI_EDGE
2,-2.236613,-36,BI_EDGE
3,-2.222384,-36,BI_EDGE
4,-2.208156,-36,BI_EDGE
5,-2.193928,-36,BI_EDGE
6,-2.1797,-36,NONE
-3,-2.240913,-35,NONE
-2,-2.240913,-35,NONE
-1,-2.240913,-35,BI_EDGE
0,-2.240913,-35,BI_EDGE
1,-2.225233,-35,BI_EDGE
2,-2.240236,-35,BI_EDGE
3,-2.226008,-35,BI_EDGE
4,-2.21178,-35,BI_EDGE
5,-2.197551,-35,BI_EDGE
6,-2.183324,-35,NONE
-3,-2.240913,-34,NONE
-2,-2.240913,-34,NONE
-1,-2.240913,-34,BI_EDGE
0,-2.240913,-34,BI_EDGE
1,-2.225233,-34,BI_EDGE
2,-2.231078,-34,BI_EDGE
3,-2.229631,-34,BI_EDGE
4,-2.215403,-34,BI_EDGE
5,-2.201175,-34,BI_EDGE
6,-2.186947,-34,NONE
-3,-2.240913,-33,NONE
-2,-2.240913,-33,NONE
-1,-2.240913,-33,BI_EDGE
0,-2.240913,-33,BI_EDGE
1,-2.225233,-33,BI_EDGE
2,-2.21898,-33,BI_EDGE
3,-2.233254,-33,BI_EDGE
4,-2.219026,-33,BI_EDGE
5,-2.204798,-33,BI_EDGE
6,-2.19057,-33,NONE
-3,-2.240913,-32,NONE
-2,-2.240913,-32,NONE
-1,-2.240913,-32,BI_EDGE
0,-2.240913,-32,BI_EDGE
1,-2.225233,-32,BI_EDGE
2,-2.209552,-32,BI_EDGE
3,-2.236878,-32,BI_EDGE
4,-2.22265,-32,BI_EDGE
5,-2.208421,-32,BI_EDGE
6,-2.194193,-32,NONE
-3,-2.240913,-31,NONE
-2,-2.240913,-31,NONE
-1,-2.240913,-31,BI_EDGE
0,-2.240913,-31,BI_EDGE
1,-2.225233,-31,BI_EDGE
2,-2.209552,-31,BI_EDGE
3,-2.240501,-31,BI_EDGE
4,-2.226273,-31,BI_EDGE
5,-2.212045,-31,BI_EDGE
6,-2.197817,-31,NONE
-3,-2.240913,-30,NONE
-2,-2.240913,-30,NONE
-1,-2.240913,-30,BI_EDGE
0,-2.240913,-30,BI_EDGE
1,-2.225233,-30,BI_EDGE
2,-2.209552,-30,BI_EDGE
3,-2.230193,-30,BI_EDGE
4,-2.229896,-30,BI_EDGE
5,-2.215668,-30,BI_EDGE
6,-2.20144,-30,NONE
-3,-2.240913,-29,NONE
-2,-2.240913,-29,NONE
-1,-2.240913,-29,BI_EDGE
0,-2.240913,-29,BI_EDGE
1,-2.225233,-29,BI_EDGE
2,-2.209552,-29,BI_EDGE
3,-2.218095,-29,BI_EDGE
4,-2.23352,-29,BI_EDGE
5,-2.219291,-29,BI_EDGE
6,-2.205063,-29,NONE
-3,-2.240913,-28,NONE
-2,-2.240913,-28,NONE
-1,-2.240913,-28,BI_EDGE
0,-2.240913,-28,BI_EDGE
1,-2.225233,-28,BI_EDGE
2,-2.209552,-28,BI_EDGE
3,-2.205997,-28,BI_EDGE
4,-2.237143,-28,BI_EDGE
5,-2.222915,-28,BI_EDGE
6,-2.208687,-28,NONE
-3,-2.240913,-27,NONE
-2,-2.240913,-27,NONE
-1,-2.240913,-27,BI_EDGE
0,-2.240913,-27,BI_EDGE
1,-2.225233,-27,BI_EDGE
2,-2.209552,-27,BI_EDGE
3,-2.193871,-27,BI_EDGE
4,-2.240766,-27,BI_EDGE
5,-2.226538,-27,BI_EDGE
6,-2.21231,-27,NONE
-3,-2.240913,-26,NONE
-2,-2.240913,-26,NONE
-1,-2.240913,-26,BI_EDGE
0,-2.240913,-26,BI_EDGE
1,-2.225233,-26,BI_EDGE
2,-2.209552,-26,BI_EDGE
3,-2.193871,-26,BI_EDGE
4,-2.229307,-26,BI_EDGE
5,-2.230161,-26,BI_EDGE
6,-2.215933,-26,NONE
-3,-2.240913,-25,NONE
-2,-2.240913,-25,NONE
-1,-2.240913,-25,BI_EDGE
0,-2.240913,-25,BI_EDGE
1,-2.225233,-25,NAV_NODE
2,-2.209552,-25,NAV_NODE
3,-2.193871,-25,NAV_NODE
4,-2.21721,-25,BI_EDGE
5,-2.233785,-25,BI_EDGE
6,-2.219557,-25,NONE
-3,-2.240913,-24,NONE
-2,-2.240913,-24,NONE
-1,-2.240913,-24,BI_EDGE
0,-2.240913,-24,NAV_NODE
1,-2.225233,-24,NAV_NODE
2,-2.209552,-24,NAV_NODE
3,-2.193871,-24,NAV_NODE
4,-2.205112,-24,NAV_NODE
5,-2.237408,-24,BI_EDGE
6,-2.22318,-24,NONE
-3,-2.240913,-23,NONE
-2,-2.240913,-23,NONE
-1,-2.240913,-23,NAV_NODE
0,-2.240913,-23,NAV_NODE
1,-2.225233,-23,NAV_NODE
2,-2.209552,-23,NAV_NODE
3,-2.193871,-23,NAV_NODE
4,-2.193014,-23,NAV_NODE
5,-2.24052,-23,NAV_NODE
